timecost:0.35, lr:5e-06, epoch:292, train_loss:0.0125, train_acc:100.00
timecost:0.36, lr:5e-06, epoch:293, train_loss:0.0131, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:294, train_loss:0.0137, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:295, train_loss:0.0141, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:296, train_loss:0.0144, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:297, train_loss:0.0137, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:298, train_loss:0.0156, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:299, train_loss:0.0130, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:300, train_loss:0.0125, train_acc:100.00
timecost:0.00, lr:6.500000000000001e-05, epoch:1, train_loss:2.8239, train_acc:9.62
